txLoss : 0.0 , txDelay : 743.0 , txJitter : 122.0 , rxLoss : 0.0 , rxDelay : 671.0 , rxJitter : 11.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 201.0 , txJitter : 48.0 , rxLoss : 0.0 , rxDelay : 185.0 , rxJitter : 25.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 225.0 , txJitter : 69.0 , rxLoss : 0.0 , rxDelay : 191.0 , rxJitter : 6.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 360.0 , txJitter : 110.0 , rxLoss : 0.0 , rxDelay : 291.0 , rxJitter : 13.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 380.0 , txJitter : 90.0 , rxLoss : 0.0 , rxDelay : 353.0 , rxJitter : 8.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 346.0 , txJitter : 170.0 , rxLoss : 0.0 , rxDelay : 250.0 , rxJitter : 13.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 305.0 , txJitter : 38.0 , rxLoss : 0.0 , rxDelay : 289.0 , rxJitter : 6.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 259.0 , txJitter : 51.0 , rxLoss : 0.0 , rxDelay : 236.0 , rxJitter : 5.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 323.0 , txJitter : 45.0 , rxLoss : 0.0 , rxDelay : 286.0 , rxJitter : 5.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 571.0 , txJitter : 171.0 , rxLoss : 0.0 , rxDelay : 352.0 , rxJitter : 13.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 465.0 , txJitter : 75.0 , rxLoss : 0.0 , rxDelay : 518.0 , rxJitter : 66.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 361.0 , txJitter : 67.0 , rxLoss : 0.0 , rxDelay : 328.0 , rxJitter : 6.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 1484.0 , txJitter : 176.0 , rxLoss : 0.0 , rxDelay : 1367.0 , rxJitter : 39.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 1840.0 , txJitter : 13.0 , rxLoss : 0.0 , rxDelay : 1834.0 , rxJitter : 3.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 131.0 , txJitter : 66.0 , rxLoss : 0.0 , rxDelay : 102.0 , rxJitter : 14.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 161.0 , txJitter : 110.0 , rxLoss : 0.0 , rxDelay : 100.0 , rxJitter : 13.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 285.0 , txJitter : 62.0 , rxLoss : 0.0 , rxDelay : 161.0 , rxJitter : 9.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 262.0 , txJitter : 60.0 , rxLoss : 0.0 , rxDelay : 143.0 , rxJitter : 6.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 287.0 , txJitter : 107.0 , rxLoss : 0.0 , rxDelay : 144.0 , rxJitter : 5.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 1423.0 , txJitter : 3.0 , rxLoss : 0.0 , rxDelay : 1423.0 , rxJitter : 1.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 645.0 , txJitter : 4.0 , rxLoss : 0.0 , rxDelay : 644.0 , rxJitter : 1.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 929.0 , txJitter : 76.0 , rxLoss : 0.0 , rxDelay : 918.0 , rxJitter : 4.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 882.0 , txJitter : 106.0 , rxLoss : 0.0 , rxDelay : 825.0 , rxJitter : 9.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 736.0 , txJitter : 111.0 , rxLoss : 0.0 , rxDelay : 676.0 , rxJitter : 9.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 593.0 , txJitter : 90.0 , rxLoss : 0.0 , rxDelay : 552.0 , rxJitter : 17.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 729.0 , txJitter : 79.0 , rxLoss : 0.0 , rxDelay : 694.0 , rxJitter : 12.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 510.0 , txJitter : 97.0 , rxLoss : 0.0 , rxDelay : 458.0 , rxJitter : 9.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 692.0 , txJitter : 101.0 , rxLoss : 0.0 , rxDelay : 652.0 , rxJitter : 10.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 522.0 , txJitter : 82.0 , rxLoss : 0.0 , rxDelay : 490.0 , rxJitter : 9.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 863.0 , txJitter : 95.0 , rxLoss : 0.0 , rxDelay : 812.0 , rxJitter : 11.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 748.0 , txJitter : 99.0 , rxLoss : 0.0 , rxDelay : 694.0 , rxJitter : 12.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 908.0 , txJitter : 147.0 , rxLoss : 0.0 , rxDelay : 824.0 , rxJitter : 11.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 696.0 , txJitter : 111.0 , rxLoss : 0.0 , rxDelay : 638.0 , rxJitter : 8.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 1039.0 , txJitter : 110.0 , rxLoss : 0.0 , rxDelay : 982.0 , rxJitter : 18.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 490.0 , txJitter : 89.0 , rxLoss : 0.0 , rxDelay : 451.0 , rxJitter : 14.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 896.0 , txJitter : 54.0 , rxLoss : 0.0 , rxDelay : 872.0 , rxJitter : 7.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 489.0 , txJitter : 55.0 , rxLoss : 0.0 , rxDelay : 464.0 , rxJitter : 8.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 1049.0 , txJitter : 58.0 , rxLoss : 0.0 , rxDelay : 1022.0 , rxJitter : 9.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 500.0 , txJitter : 75.0 , rxLoss : 0.0 , rxDelay : 463.0 , rxJitter : 8.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 653.0 , txJitter : 48.0 , rxLoss : 0.0 , rxDelay : 642.0 , rxJitter : 39.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 466.0 , txJitter : 36.0 , rxLoss : 0.0 , rxDelay : 460.0 , rxJitter : 31.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 844.0 , txJitter : 44.0 , rxLoss : 0.0 , rxDelay : 844.0 , rxJitter : 44.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 454.0 , txJitter : 35.0 , rxLoss : 0.0 , rxDelay : 454.0 , rxJitter : 35.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 820.0 , txJitter : 45.0 , rxLoss : 0.0 , rxDelay : 820.0 , rxJitter : 45.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 541.0 , txJitter : 52.0 , rxLoss : 0.0 , rxDelay : 541.0 , rxJitter : 52.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 876.0 , txJitter : 99.0 , rxLoss : 0.0 , rxDelay : 814.0 , rxJitter : 10.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 486.0 , txJitter : 105.0 , rxLoss : 0.0 , rxDelay : 432.0 , rxJitter : 17.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 712.0 , txJitter : 77.0 , rxLoss : 0.0 , rxDelay : 679.0 , rxJitter : 12.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 710.0 , txJitter : 77.0 , rxLoss : 0.0 , rxDelay : 668.0 , rxJitter : 8.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 959.0 , txJitter : 102.0 , rxLoss : 0.0 , rxDelay : 900.0 , rxJitter : 10.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 522.0 , txJitter : 77.0 , rxLoss : 0.0 , rxDelay : 483.0 , rxJitter : 14.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 873.0 , txJitter : 50.0 , rxLoss : 0.0 , rxDelay : 873.0 , rxJitter : 50.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 481.0 , txJitter : 54.0 , rxLoss : 0.0 , rxDelay : 481.0 , rxJitter : 54.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 911.0 , txJitter : 94.0 , rxLoss : 0.0 , rxDelay : 862.0 , rxJitter : 16.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 516.0 , txJitter : 73.0 , rxLoss : 0.0 , rxDelay : 479.0 , rxJitter : 10.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 923.0 , txJitter : 112.0 , rxLoss : 0.0 , rxDelay : 861.0 , rxJitter : 16.0 , throughput : 0.0/HIT2
